Census ID,Hotel Name,current hotel supply,current  hotel demand,current  hotel revenue,current  hotel occupancy,current hotel ADR,current hotel revPAR,current compset supply,current compset demand,current compset revenue,current compset occupancy,current compset ADR,current compset revPAR,current index occupancy,current index ADR,current index revPAR,current rank occupancy,current rank ADR,current rank revPAR,previous hotel supply,previous hotel demand,previous hotel revenue,previous hotel occupancy,previous hotel ADR,previous hotel revPAR,previous compset supply,previous compset demand,previous compset revenue,previous compset occupancy,previous compset ADR,previous compset revPAR,previous index occupancy,previous index ADR,previous index  revPAR,previous rank occupancy,previous rank ADR,previous rank revPAR,hotel change supply,hotel change demand,hotel change revenue,hotel change occupancy,hotel change ADR,hotel change revPAR,compset change supply,compset change demand,compset change revenue,compset change occupancy,compset change ADR,compset change revPAR,index change occupancy,index change ADR,index change revPAR,rank change occupancy,rank change ADR,rank change revPAR,
172810,De Vere Horsley Estate,180,120,10478.18376,66.66666667,87.318198,58.212132,942,539.1813644,40054.28705,57.23793677,74.28722448,42.52047458,116.4728682,117.5413385,136.9037683,1 of 4,3 of 4,2 of 4,180,63,2260.00362,35,35.87307333,12.55557567,942,227,17619.13503,24.09766454,77.61733493,18.703965,145.2422907,46.21786275,67.1278826,3 of 7,7 of 7,6 of 7,0,90.47619048,363.6357069,90.47619048,143.4087461,363.6357069,0,137.5248301,127.3340149,137.5248301,-4.290421025,127.3340149,-19.80788267,154.3201514,103.9447142,2 of 4,1 of 4,2 of 4,
184895,De Vere Wokefield Estate,357,262,32461.6827,73.38935574,123.8995523,90.92908319,1109,526.3440415,34090.6976,47.4611399,64.76884873,30.74003391,154.6304111,191.2949739,295.8002046,1 of 5,1 of 5,1 of 5,357,24,923.90529,6.722689076,38.49605375,2.58797,1109,194,12549.3018,17.49323715,64.68712268,11.31587178,38.43021745,59.51115486,22.87026622,6 of 6,6 of 6,6 of 6,0,991.6666667,3413.52926,991.6666667,221.8500086,3413.52926,0,171.3113616,171.6541378,171.3113616,0.126340529,171.6541378,302.3667348,221.4438946,1193.383303,1 of 5,1 of 5,1 of 5,
156370,De Vere Latimer Estate,197,125,10121.37386,63.45177665,80.97099088,51.37753228,958,559.2099057,33147.93094,58.37264151,59.27636582,34.60118052,108.7012255,136.5991146,148.4849115,2 of 5,2 of 5,1 of 5,197,53,1758.17271,26.9035533,33.17307,8.924734569,958,181,12067.93938,18.89352818,66.67369823,12.59701397,142.3956025,49.75435723,70.84801678,2 of 6,6 of 6,5 of 6,0,135.8490566,475.6757458,135.8490566,144.0865162,475.6757458,0,208.955749,174.6776388,208.955749,-11.09482841,174.6776388,-23.66251239,174.5470391,109.582312,4 of 5,1 of 5,1 of 5,
144039,Wychwood Park,108,29,1622.08186,26.85185185,55.93385724,15.01927648,524,353,23308.9074,67.36641221,66.03089915,44.48264771,39.85940615,84.70861061,33.76434914,6 of 6,5 of 6,6 of 6,108,17,631.69995,15.74074074,37.15882059,5.849073611,524,254,14730.2547,48.47328244,57.99312874,28.11117309,32.47302421,64.07452296,20.80693535,6 of 6,6 of 6,6 of 6,0,70.58823529,156.7804319,70.58823529,50.52646009,156.7804319,0,38.97637795,58.23831885,38.97637795,13.85986682,58.23831885,22.74620897,32.20326379,62.27449443,3 of 6,1 of 6,3 of 6,
209111,De Vere Orchard Hotel,202,142,9863.98964,70.2970297,69.46471577,48.83163188,578,423,32880.23274,73.183391,77.73104667,56.88621581,96.05598858,89.36547075,85.84088638,3 of 5,4 of 5,3 of 5,202,47,2159.07279,23.26732673,45.93771894,10.68847916,578,196,11837.13951,33.9100346,60.39356893,20.47948012,68.61487169,76.06392494,52.1911645,5 of 5,4 of 5,5 of 5,0,202.1276596,356.8623015,202.1276596,51.21498712,356.8623015,0,115.8163265,177.7717768,115.8163265,28.70748996,177.7717768,39.9929581,17.48732507,64.47398176,3 of 5,3 of 5,2 of 5,
124224,The St David`s Hotel & Spa,142,115,9915.30612,80.98591549,86.22005322,69.82609944,1030,774.3262411,55199.85728,75.17730496,71.28759733,53.59209444,107.726548,120.9467796,130.2917905,4 of 6,1 of 6,2 of 6,142,140,13967.27409,98.5915493,99.7662435,98.36108514,1030,757,58307.66991,73.49514563,77.02466303,56.60938826,134.1470222,129.5250632,173.7540153,1 of 7,1 of 7,1 of 7,0,-17.85714286,-29.01044215,-17.85714286,-13.57792958,-29.01044215,0,2.28880332,-5.330023712,2.28880332,-7.448348974,-5.330023712,-19.69516264,-6.62287548,-25.01365202,4 of 6,5 of 6,5 of 6,
143557,Blythswood Square Hotel,100,99,13553.96528,99,136.9087402,135.5396528,864,752.069869,64905.8234,87.04512373,86.30291689,75.12248079,113.7341137,158.6374426,180.4248893,1 of 5,1 of 5,1 of 5,100,92,10709.96094,92,116.4126189,107.0996094,781,489,45332.76468,62.61203585,92.70504025,58.04451303,146.9366053,125.5731281,184.5128916,1 of 6,1 of 6,1 of 6,0,7.608695652,26.55475922,7.608695652,17.60644291,26.55475922,10.62740077,53.79751922,43.17640642,39.02298902,-6.905906452,29.42219145,-22.59647386,26.33072457,-2.21556458,5 of 5,2 of 5,3 of 5,
172098,Hunton Park,60,39,3227.3255,65,82.7519359,53.78875833,676,369,26553.87294,54.58579882,71.96171528,39.28087713,119.0785908,114.9943905,136.9336997,2 of 5,1 of 5,1 of 5,60,41,2010.85269,68.33333333,49.04518756,33.5142115,676,238,14388.64266,35.20710059,60.45648176,21.28497435,194.0896359,81.12477956,157.4547892,1 of 5,5 of 5,1 of 5,0,-4.87804878,60.49537174,-4.87804878,68.72590363,60.49537174,0,55.04201681,84.54744876,55.04201681,19.03060381,84.54744876,-38.64763038,41.7500191,-13.03300435,5 of 5,1 of 5,4 of 5,
133715,The Bonham Hotel,49,46,3455.04238,93.87755102,75.10961696,70.51106898,556,469,35284.89092,84.35251799,75.234309,63.46203403,111.2919368,99.83426173,111.1074835,3 of 7,4 of 7,4 of 7,49,42,2871.23508,85.71428571,68.36274,58.59663429,556,347,23192.21079,62.41007194,66.83634233,41.71260933,137.3404693,102.283784,140.4770289,1 of 7,4 of 7,3 of 7,0,9.523809524,20.33296765,9.523809524,9.869231334,20.33296765,0,35.15850144,52.14112721,35.15850144,12.56497045,52.14112721,-18.96639253,-2.394829497,-20.90700926,6 of 7,5 of 7,5 of 7,
113573,The Principal York,155,139,16777.28168,89.67741935,120.6998682,108.240527,586,439.1632184,79782.25494,74.94252874,181.6688001,136.1471927,119.6615872,66.43951417,79.50257717,2 of 5,5 of 5,4 of 5,155,118,12065.82195,76.12903226,102.2527284,77.84401258,586,458,70360.08147,78.15699659,153.624632,120.0683984,97.40526835,66.56011281,64.8330565,4 of 7,6 of 7,6 of 7,0,17.79661017,39.0479799,17.79661017,18.04073114,39.0479799,0,-4.112834412,13.39136237,-4.112834412,18.25499448,13.39136237,22.8491941,-0.181187558,22.62660664,2 of 5,2 of 5,2 of 5,
