# ----------------------------------------
# PHCompany.com (Reporting)
# Demand Report
# 20161126-20161126
# ----------------------------------------

Hour of Day,Device Category,Event Label,Check In Date,Check Out Date,Number of Adults,Number of Children,Number of Rooms,Hits
2016112620,desktop,De Vere Staverton Estate,04/03/2017,05/03/2017,28,0,14,8
2016112611,tablet,De Vere Cotswold Water Park,16/06/2017,18/06/2017,24,15,15,3
2016112616,tablet,De Vere Cotswold Water Park,16/06/2017,18/06/2017,22,13,13,8
2016112618,mobile,De Vere Cranage Estate,31/12/2016,01/01/2017,17,0,9,5
2016112611,desktop,The Principal Edinburgh George...,21/10/2017,23/10/2017,16,4,10,2
2016112615,mobile,De Vere Cotswold Water Park,05/03/2017,06/03/2017,14,0,7,3
2016112608,mobile,De Vere Cotswold Water Park,28/12/2016,30/12/2016,12,0,5,3
2016112608,mobile,De Vere Orchard Hotel,26/12/2016,27/12/2016,12,0,5,2
2016112610,desktop,De Vere Wotton House,30/04/2017,01/05/2017,12,0,12,5
2016112611,desktop,De Vere Horwood Estate,21/01/2017,22/01/2017,12,4,6,3
2016112621,mobile,Denham Grove,25/03/2017,26/03/2017,12,0,6,3
2016112623,mobile,De Vere Cotswold Water Park,28/07/2017,31/07/2017,12,6,6,2
2016112617,mobile,Grand Central Hotel,11/02/2017,12/02/2017,11,0,6,6
2016112600,desktop,The Principal Manchester,13/01/2017,15/01/2017,10,0,5,2
2016112611,desktop,Milton Hill,06/08/2017,10/08/2017,10,0,5,1
2016112613,desktop,The Principal Manchester,26/11/2016,28/11/2016,10,0,4,3
2016112616,mobile,De Vere Tortworth Estate,21/01/2017,22/01/2017,10,0,5,5
2016112617,desktop,De Vere Devonport House,12/12/2016,13/12/2016,10,0,6,2
2016112617,mobile,De Vere Wotton House,28/07/2017,29/07/2017,10,0,5,5
2016112618,tablet,De Vere Orchard Hotel,28/01/2017,29/01/2017,10,0,5,5
2016112609,desktop,The Principal Manchester,26/11/2016,27/11/2016,9,0,5,5
2016112610,mobile,De Vere Oxford Thames,02/12/2016,04/12/2016,9,0,5,5
2016112615,desktop,The St Johns Hotel,14/12/2016,16/12/2016,9,0,5,3
2016112617,desktop,De Vere Orchard Hotel,18/02/2017,19/02/2017,9,0,3,3
2016112620,mobile,Cheadle House,10/12/2016,11/12/2016,9,3,4,4
2016112620,mobile,The St David's Hotel,19/04/2017,20/04/2017,9,0,4,2
2016112621,mobile,De Vere Cranage Estate,04/08/2017,06/08/2017,9,1,5,5
2016112621,mobile,Grand Central Hotel,05/12/2016,07/12/2016,9,0,4,1
2016112600,desktop,The Derbyshire,13/01/2017,15/01/2017,8,0,4,1
2016112607,mobile,De Vere Devonport House,30/06/2017,03/07/2017,8,0,4,1
2016112608,mobile,De Vere Cotswold Water Park,12/08/2017,14/08/2017,8,0,3,2
