Date,Campaign,AdWords Campaign ID,Sessions,Clicks,Cost,Impressions,Transactions,Revenue,Quantity,HotelName
20161108,Principal York Brand [UK] (S) ^KW ^RLSA-B *AD,693220995,231,236,134.69,1357,1,448.5,2,The Principal York
20161107,Principal York Brand [UK] (S) ^KW ^RLSA-B *AD,693220995,219,222,104.07,1146,0,0,0,The Principal York
20161107,Principal Manchester Brand [UK] (S) ^KW ^RLSA-B *AD,693220989,203,192,115.87,1048,1,149.63,1,The Principal Manchester
20161107,BRA De Vere Brand [UK] (S) ^KW ^RLSA-B *AD,692789725,202,215,187.89,4179,1,115.83,1,De Vere
20161108,BRA De Vere Brand [UK] (S) ^KW ^RLSA-B *AD,692789725,194,206,195.78,3819,1,353,2,De Vere
20161107,DV Cotswold Water Park Brand [UK] (S) ^KW *AD,685552278,190,179,62.41,1150,4,422.25,6,De Vere Cotswold Water Park
20161108,Principal Manchester Brand [UK] (S) ^KW ^RLSA-B *AD,693220989,177,181,112.3,1034,2,281.66,2,The Principal Manchester
20161107,DV Cotswold Water Park General [UK] (S) ^KW *AD,685552287,157,162,201.35,8261,0,0,0,De Vere Cotswold Water Park
20161108,Principal Edinburgh General [UK] (S) ^KW RLSA-B *AD,693220974,154,161,217.99,15404,2,576.75,4,The Principal Edinburgh George…
20161107,Principal Edinburgh General [UK] (S) ^KW RLSA-B *AD,693220974,152,166,222.54,18046,0,0,0,The Principal Edinburgh George…
20161107,DV Tortworth Estate Brand [UK] (S) ^KW *AD,685552290,149,137,97.48,1122,4,431.17,6,De Vere Tortworth Estate
20161106,BRA De Vere Brand [UK] (S) ^KW ^RLSA-B *AD,692789725,143,149,128.7,2327,1,353,2,De Vere
20161108,DV Cotswold Water Park Brand [UK] (S) ^KW *AD,685552278,143,142,64.69,896,0,0,0,De Vere Cotswold Water Park
20161105,Principal Manchester Brand [UK] (S) ^KW ^RLSA-B *AD,693220989,142,135,82.57,876,1,162.5,1,The Principal Manchester
20161107,DV Beaumont Estate Brand [UK] (S) ^KW ^RLSA-B *AD,685552035,142,149,87.73,1494,1,74.17,1,De Vere Beaumont Estate
20161106,DV Cotswold Water Park Brand [UK] (S) ^KW *AD,685552278,139,132,54.38,855,0,0,0,De Vere Cotswold Water Park
20161105,DV Cotswold Water Park Brand [UK] (S) ^KW *AD,685552278,136,127,50.28,1083,0,0,0,De Vere Cotswold Water Park
20161108,DV Tortworth Estate Brand [UK] (S) ^KW *AD,685552290,134,123,84.41,1098,0,0,0,De Vere Tortworth Estate
20161108,DV Cotswold Water Park General [UK] (S) ^KW *AD,685552287,133,137,195.39,6170,0,0,0,De Vere Cotswold Water Park
20161105,BRA De Vere Brand [UK] (S) ^KW ^RLSA-B *AD,692789725,131,135,118.77,2501,0,0,0,De Vere
20161104,DV Cotswold Water Park Brand [UK] (S) ^KW *AD,685552278,130,128,48.56,874,0,0,0,De Vere Cotswold Water Park
20161103,zZz PAL The Palace Brand [UK] (S) ^KW ^RLSA-B *AD,160000354,119,121,40.67,667,0,0,0,The Principal Manchester
20161105,DV Beaumont Estate Brand [UK] (S) ^KW ^RLSA-B *AD,685552035,118,112,49.72,1139,1,110.83,3,De Vere Beaumont Estate
20161103,zZz ROY Royal York Brand [UK] (S) ^KW ^RLSA-B *AD,159522754,117,103,22.4,364,2,624.17,3,The Principal York
20161107,DV Staverton Estate Brand [UK] (S) ^KW ^RLSA-B *AD,692789749,115,114,40.78,642,1,65.83,1,De Vere Staverton Estate
20161106,DV Beaumont Estate Brand [UK] (S) ^KW ^RLSA-B *AD,685552035,114,116,61.8,1104,0,0,0,De Vere Beaumont Estate
20161106,Principal York Brand [UK] (S) ^KW ^RLSA-B *AD,693220995,114,106,63.03,537,1,488.33,2,The Principal York
20161104,DV Beaumont Estate Brand [UK] (S) ^KW ^RLSA-B *AD,685552035,106,106,61.57,920,1,62.5,1,De Vere Beaumont Estate
20161104,Principal York Brand [UK] (S) ^KW ^RLSA-B *AD,693220995,106,93,61.14,467,1,537.33,4,The Principal York
20161102,zZz GRG The George Brand [UK] (S) ^KW ^RLSA-B *AD,160000474,104,119,32.11,483,1,155.17,1,The Principal Edinburgh George…
20161107,DV Wokefield Estate Brand [UK] (S) ^KW ^RLSA-B *AD,692789755,102,105,38.19,615,0,0,0,De Vere Wokefild Estate
20161102,zZz ROY Royal York Brand [UK] (S) ^KW ^RLSA-B *AD,159522754,101,102,22.78,346,1,194.17,1,The Principal York
20161107,The Grand - Brand,(not set),101,0,0,0,0,0,0,Grand Central Hotel
20161105,Principal York Brand [UK] (S) ^KW ^RLSA-B *AD,693220995,100,105,59.54,444,2,351.67,2,The Principal York
20161106,Principal Manchester Brand [UK] (S) ^KW ^RLSA-B *AD,693220989,100,101,70.68,770,1,234.33,1,The Principal Manchester
20161103,PHB Principal Brand [UK] (S) ^KW ^RLSA-B *AD,692594156,99,108,94.58,967,0,0,0,Principal
20161106,DV Tortworth Estate Brand [UK] (S) ^KW *AD,685552290,99,92,54.29,769,1,115.08,1,De Vere Tortworth Estate
20161103,zZz GRG The George Brand [UK] (S) ^KW ^RLSA-B *AD,160000474,97,95,23.22,631,2,288.34,2,The Principal Edinburgh George…
20161104,BRA De Vere Brand [UK] (S) ^KW ^RLSA-B *AD,692789725,96,103,71.1,1645,0,0,0,De Vere
20161108,DV Beaumont Estate Brand [UK] (S) ^KW ^RLSA-B *AD,685552035,96,98,58.59,1344,1,119.17,1,De Vere Beaumont Estate
20161108,PHB Principal Hayley Brand [UK] (S) ^KW ^RLSA-B *AD,692715553,92,97,59.33,671,0,0,0,Principal
20161108,DV Wokefield Estate Brand [UK] (S) ^KW ^RLSA-B *AD,692789755,91,94,28.37,562,1,140,2,De Vere Wokefild Estate
20161107,DV Wotton House Brand [UK] (S) ^KW ^RLSA-B *AD,685552224,90,89,33.09,382,1,640.34,6,De Vere Wotton House
20161107,DV Oxford Thames General [UK] (S) ^KW *NM,685510706,87,104,182.27,6046,0,0,0,De Vere Oxford Thames
20161108,Principal Edinburgh Brand [UK] (S) ^KW ^RLSA-B *AD,693220980,84,83,33.4,607,3,1304.16,9,The Principal Edinburgh George…
20161108,The Grand - Brand,(not set),84,0,0,0,0,0,0,Grand Central Hotel
20161108,DV Oxford Thames General [UK] (S) ^KW *NM,685510706,83,88,174.7,5656,1,126.67,1,De Vere Oxford Thames
20161105,DV Tortworth Estate Brand [UK] (S) ^KW *AD,685552290,82,85,51.02,626,0,0,0,De Vere Tortworth Estate
20161106,DV Oxford Thames Brand [UK] (S) ^KW *AD,685510700,81,77,60.54,661,0,0,0,De Vere Oxford Thames
